HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,Answer.book,Answer.careful,Answer.comments,Answer.distraction,Answer.english,Answer.gender,Answer.grouptype,Answer.q1,Answer.q10,Answer.q11,Answer.q12,Answer.q13,Answer.q14,Answer.q15,Answer.q16,Answer.q17,Answer.q18,Answer.q19,Answer.q2,Answer.q20,Answer.q21,Answer.q22,Answer.q23,Answer.q24,Answer.q25,Answer.q26,Answer.q27,Answer.q28,Answer.q29,Answer.q3,Answer.q30,Answer.q31,Answer.q32,Answer.q33,Answer.q34,Answer.q35,Answer.q4,Answer.q5,Answer.q6,Answer.q7,Answer.q8,Answer.q9,Answer.qNum1,Answer.qNum10,Answer.qNum11,Answer.qNum12,Answer.qNum13,Answer.qNum14,Answer.qNum15,Answer.qNum16,Answer.qNum17,Answer.qNum18,Answer.qNum19,Answer.qNum2,Answer.qNum20,Answer.qNum21,Answer.qNum22,Answer.qNum23,Answer.qNum24,Answer.qNum25,Answer.qNum26,Answer.qNum27,Answer.qNum28,Answer.qNum29,Answer.qNum3,Answer.qNum30,Answer.qNum31,Answer.qNum32,Answer.qNum33,Answer.qNum34,Answer.qNum35,Answer.qNum4,Answer.qNum5,Answer.qNum6,Answer.qNum7,Answer.qNum8,Answer.qNum9,Answer.time1,Answer.time2,Answer.time3,Answer.time4,Answer.time5,Answer.time6,Answer.time7,Answer.time8,Approve,Reject,Correct,Self-rating
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,308Q0PEVB9JXGQF0W4HWD8GDWAS9I7,A19IWME4DCIU1H,Submitted,Tue Mar 07 10:25:23 PST 2017,Tue Mar 07 10:30:56 PST 2017,Fri Mar 10 10:30:56 PST 2017,,,,333,0% (0/0),0% (0/0),0% (0/0),25,,5,Thanks for your research!,no,yes,female,2,1,4,1,3,4,1,1,1,1,1,3,2,2,5,5,3,1,2,4,1,3,4,1,3,4,4,2,5,4,1,5,2,1,3,1,qu65,qu48,qu9,qu2,qu19,tqu4,tqu3,tqu7,qu70,qu46,qu52,qu72,qu31,qu77,qu38,qu82,qu54,qu83,qu76,qu57,qu60,qu25,tqu1,qu41,qu27,qu11,qu53,tqu5,qu6,qu50,qu29,tqu6,tqu2,qu5,qu18,1488911132999,1488911135383,1488911175872,1488911378281,1488911429526,1488911443173,1488911448276,1488911455850,,,6.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,30JNVC0ORAQ3CUL27OAXZR5N6XGQHG,A3MGO9AP52WQHP,Submitted,Tue Mar 07 10:24:54 PST 2017,Tue Mar 07 10:28:51 PST 2017,Fri Mar 10 10:28:51 PST 2017,,,,237,0% (0/0),0% (0/0),0% (0/0),46,,5,{},no,yes,male,2,4,3,5,1,1,4,5,4,1,4,2,4,3,4,2,1,3,3,3,4,4,3,5,1,5,2,3,3,5,1,1,3,1,1,4,qu9,qu8,qu26,qu76,tqu3,qu6,qu35,qu49,tqu7,qu84,qu18,qu11,qu77,qu3,qu66,tqu2,qu63,qu45,qu64,qu42,qu1,qu33,tqu5,qu4,tqu1,qu31,qu20,qu56,qu29,tqu4,qu82,qu25,tqu6,qu85,qu69,1488911104486,1488911111751,1488911169994,1488911224204,1488911281054,1488911303049,1488911313837,1488911323674,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,31LM9EDVOMYE0330FWL17AQXEEXNJV,A369RSNFVB856W,Submitted,Tue Mar 07 10:24:35 PST 2017,Tue Mar 07 11:12:36 PST 2017,Fri Mar 10 11:12:36 PST 2017,,,,2881,0% (0/0),0% (0/0),0% (0/0),26,,5,{},yes,yes,male,2,2,2,4,2,5,5,1,2,1,4,1,1,5,4,4,4,2,4,1,4,4,5,2,1,1,5,1,5,4,1,5,1,5,5,4,qu32,qu86,qu30,qu61,qu11,qu22,qu69,qu37,tqu4,qu44,tqu6,qu40,qu35,qu27,qu39,qu13,qu4,qu19,qu66,qu48,qu43,qu88,qu3,tqu1,tqu7,tqu5,tqu2,qu29,qu5,qu31,qu64,tqu3,qu53,qu2,qu63,1488913222515,1488913228973,1488913420844,1488913849515,1488913889908,1488913930691,1488913940555,1488913949971,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,31UV0MXWNRIEF3DOTE4F1SBBAE95IC,AU8YVB738G6C,Submitted,Tue Mar 07 10:24:30 PST 2017,Tue Mar 07 10:30:10 PST 2017,Fri Mar 10 10:30:10 PST 2017,,,,340,0% (0/0),0% (0/0),0% (0/0),58,,5,all good,no,yes,female,2,5,2,2,5,4,5,1,5,3,2,1,4,3,2,2,5,3,5,4,4,3,1,1,3,1,1,5,2,2,3,1,3,5,5,3,qu42,qu81,qu52,qu79,qu36,qu87,tqu2,qu61,qu28,qu83,tqu4,qu3,qu50,tqu6,qu31,qu29,qu41,qu5,qu21,qu59,qu14,tqu3,qu68,qu27,tqu7,qu71,qu88,qu40,qu48,qu10,qu80,qu13,tqu1,tqu5,qu86,1488911125552,1488911136554,1488911199944,1488911281524,1488911330346,1488911370819,1488911384761,1488911392181,,,6.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,32ZKVD547GT1EGCE9LO5089E1SY3BB,A3NQ988D43B0JW,Submitted,Tue Mar 07 10:24:44 PST 2017,Tue Mar 07 10:33:45 PST 2017,Fri Mar 10 10:33:45 PST 2017,,,,541,0% (0/0),0% (0/0),0% (0/0),23,,5,{},no,yes,male,2,3,3,4,4,3,4,3,3,2,3,2,4,4,3,4,4,3,4,4,3,2,3,4,3,4,3,4,3,5,3,3,4,3,2,3,qu42,qu81,qu10,qu65,qu60,qu21,qu78,qu67,qu24,qu16,qu57,qu55,qu2,qu30,qu71,qu38,qu87,qu59,qu37,tqu7,tqu2,qu58,tqu6,tqu4,qu72,tqu1,qu44,qu84,tqu5,qu46,qu49,qu15,qu62,tqu3,qu50,1488911518081,1488911521255,1488911540401,1488911558042,1488911574648,1488911589413,1488911607228,1488911624291,,,1.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,3300DTYQT3NRSKU0HN2REO8AEHOQE0,AE3ZOTZGH91EN,Submitted,Tue Mar 07 10:24:48 PST 2017,Tue Mar 07 10:28:07 PST 2017,Fri Mar 10 10:28:07 PST 2017,,,,199,0% (0/0),0% (0/0),0% (0/0),28,,5,{},no,yes,male,2,4,5,2,4,1,4,2,2,2,2,5,1,4,5,2,3,4,2,2,1,2,5,2,1,4,4,1,5,2,4,1,2,5,1,4,qu85,qu88,qu58,qu53,qu40,qu38,qu68,qu29,qu63,qu4,tqu5,tqu2,qu22,tqu1,qu72,qu21,qu13,qu73,qu28,tqu6,qu50,qu45,qu32,tqu7,qu11,qu10,tqu3,qu27,qu16,qu60,tqu4,qu67,qu70,qu87,qu41,1488911146343,1488911148604,1488911180676,1488911211116,1488911246059,1488911261694,1488911273082,1488911282714,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,338JKRMM275BPEELISDB9RQI2FVAHU,APITQRRX2PADB,Submitted,Tue Mar 07 10:25:22 PST 2017,Tue Mar 07 10:50:45 PST 2017,Fri Mar 10 10:50:45 PST 2017,,,,1523,0% (0/0),0% (0/0),0% (0/0),34,,5,{},no,yes,female,2,1,1,2,5,1,1,3,3,1,3,1,5,1,5,1,1,3,1,1,4,1,1,3,1,1,4,1,5,1,2,5,4,1,4,1,tqu2,qu44,qu82,tqu1,qu4,tqu3,qu51,qu50,qu66,qu37,qu16,qu53,tqu6,qu18,tqu7,qu27,qu39,tqu4,qu75,qu26,qu41,qu68,qu49,qu80,qu69,qu29,qu60,tqu5,qu70,qu58,qu62,qu35,qu28,qu17,qu76,1488912410510,1488912420721,1488912469929,1488912534907,1488912607754,1488912625192,1488912633589,1488912641094,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,340UGXU9DZ70MON3TMB6OTTLHXXUVF,A24NDC7JH9LEM1,Submitted,Tue Mar 07 10:24:43 PST 2017,Tue Mar 07 10:31:31 PST 2017,Fri Mar 10 10:31:31 PST 2017,,,,408,0% (0/0),0% (0/0),0% (0/0),39,,5,Thanks!!,no,yes,male,2,1,1,4,5,5,1,1,5,4,5,5,4,5,1,5,4,5,5,5,2,4,1,2,5,1,4,5,1,4,2,5,1,4,3,1,qu69,tqu6,qu25,qu71,qu88,qu75,qu6,qu43,qu41,qu2,qu21,qu17,qu1,qu54,qu74,qu64,qu29,qu30,qu87,qu55,qu57,tqu7,qu48,tqu1,qu82,qu62,qu84,tqu4,qu83,qu80,tqu5,tqu2,qu5,qu72,tqu3,1488911083567,1488911085312,1488911180173,1488911313055,1488911403431,1488911445917,1488911457042,1488911469970,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,37QW5D2ZRHSMWZZMWO5WHERPL2C8S9,A21S7MA9DCW95E,Submitted,Tue Mar 07 10:24:36 PST 2017,Tue Mar 07 11:08:21 PST 2017,Fri Mar 10 11:08:21 PST 2017,,,,2625,0% (0/0),0% (0/0),0% (0/0),27,,5,{},no,yes,female,2,4,5,4,5,2,5,1,2,3,3,2,1,1,3,1,1,1,4,5,2,3,4,2,5,2,4,5,3,5,1,4,1,1,2,3,qu61,tqu1,qu36,qu49,qu9,qu43,tqu3,qu65,qu71,qu19,qu5,qu66,qu86,qu21,tqu7,qu28,tqu2,qu57,qu74,qu38,qu58,qu56,qu40,tqu5,qu7,qu25,qu26,qu1,qu79,tqu6,qu77,qu69,tqu4,qu83,qu51,1488913425339,1488913444388,1488913503834,1488913564710,1488913651190,1488913678047,1488913690130,1488913701434,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,3AMW0RGHOE8AME6YA9QL46C9ND3NPV,A17MFEPFEPG9U8,Submitted,Tue Mar 07 10:24:50 PST 2017,Tue Mar 07 10:36:49 PST 2017,Fri Mar 10 10:36:49 PST 2017,,,,719,0% (0/0),0% (0/0),0% (0/0),{},,,{},,,female,2,2,4,4,5,3,3,2,5,5,2,2,1,4,4,1,1,4,2,1,4,3,1,1,1,5,5,2,3,3,1,1,1,5,4,1,tqu5,qu62,qu1,qu70,qu85,qu40,qu59,qu20,qu13,qu28,qu26,tqu2,qu15,qu51,qu83,tqu3,qu45,qu16,qu17,qu54,qu80,tqu7,qu21,qu82,qu88,qu36,qu14,qu58,qu7,qu37,tqu4,tqu6,qu72,qu75,tqu1,1488911577098,1488911583376,1488911624106,1488911663562,1488911786543,1488911805693,1,1,,,6.0,0
